name,value,Specific Action of the Ligand,Notes
Mechanism of Action,Transthyretin stabiliser,Stabiliser,
Mechanism of Action,cIAP1/cIAP2 inhibitor,Inhibition,
Mechanism of Action,Lymphocyte differentiation antigen CD38 inhibitor,Inhibition,
Mechanism of Action,Cadherin-3 inhibitor,Inhibition,
Mechanism of Action,Interleukin-31 receptor subunit alpha inhibitor,Inhibition,
Mechanism of Action,Serine/threonine-protein phosphatase 5 inhibitor,Inhibition,
Mechanism of Action,Complement C1s inhibitor,Inhibition,
Mechanism of Action,IL-2R beta/gamma binding agent,Binding agent,
Mechanism of Action,Coagulation factor XI inhibitor,Inhibition,
Mechanism of Action,MEK1/2 inhibitor,Inhibition,
Mechanism of Action,"Potassium channel, inwardly rectifying, subfamily J, member 8 opener",Opener,
Mechanism of Action,Sodium channel protein type II alpha subunit blocker,Blocker,
Mechanism of Action,Prostanoid DP receptor antagonist,Antagonist,
Mechanism of Action,MAP kinase p38 beta inhibitor,Inhibition,
Mechanism of Action,Protein kinase C beta inhibitor,Inhibition,
Mechanism of Action,Protective antigen binding agent,Binding agent,
Mechanism of Action,Hemoglobin HbA negative modulator,Negative modulator,
Mechanism of Action,TNF-beta inhibitor,Inhibition,
Mechanism of Action,Carcinoembryonic antigen-related cell adhesion molecule 5 other,Binding,
Mechanism of Action,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1 inhibitor,Inhibition,
Mechanism of Action,CD22 inhibitor,Inhibition,
Mechanism of Action,Methionine aminopeptidase 2 inhibitor,Inhibition,
Mechanism of Action,Complement C5 binding agent,Binding agent,
Mechanism of Action,FGF1/KLB agonist,Agonist,
Mechanism of Action,"Glutamate receptor ionotropic, AMPA 1 antagonist",Antagonist,
Mechanism of Action,dual inhibitor of topoisomerase 1 and HIF-1alpha,Inhibition,
Mechanism of Action,Neuronal acetylcholine receptor protein alpha-7 subunit positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,"HLA class II histocompatibility antigen, DRB1-10 beta chain other",Binding,
Mechanism of Action,Retinoid isomerohydrolase inhibitor,Inhibition,
Mechanism of Action,Tenascin other,Binding,
Mechanism of Action,Butyrylcholinesterase inhibitor,Inhibition,
Mechanism of Action,Neurogenic locus notch homolog protein 3 inhibitor,Inhibition,
Mechanism of Action,Cytidine deaminase inhibitor,Inhibition,
Mechanism of Action,Atrial natriuretic peptide receptor A agonist,Agonist,
Mechanism of Action,Prostanoid EP4 receptor antagonist,Antagonist,
Mechanism of Action,Tyrosine-protein kinase receptor FLT3 agonist,Agonist,
Mechanism of Action,Inosine-5'-monophosphate dehydrogenase 1 inhibitor,Inhibition,
Mechanism of Action,Neuronal acetylcholine receptor protein alpha-7 subunit negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,Alpha-1a adrenergic receptor partial agonist,Partial agonist,
Mechanism of Action,CD276 antigen cross-linking agent,Cross-linking agent,
Mechanism of Action,Heat-stable enterotoxin receptor binding agent,Binding agent,
Mechanism of Action,Voltage-gated T-type calcium channel alpha-1H subunit blocker,Blocker,
Mechanism of Action,Ghrelin receptor inverse agonist,Inverse agonist,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 4 agonist,Agonist,
Mechanism of Action,GAR transformylase inhibitor,Inhibition,
Mechanism of Action,Ribonucleotide reductase and DNA synthesis inhibitor,Inhibition,
Mechanism of Action,Tyrosine-protein kinase HCK inhibitor,Inhibition,
Mechanism of Action,Somatostatin receptor 1 agonist,Agonist,
Mechanism of Action,Serine-protein kinase ATR inhibitor,Inhibition,
Mechanism of Action,TGF-beta receptor type I inhibitor,Inhibition,
Mechanism of Action,Squalene synthetase inhibitor,Inhibition,
Mechanism of Action,Nischarin agonist,Agonist,
Mechanism of Action,OX-2 membrane glycoprotein inhibitor,Inhibition,
Mechanism of Action,C-X-C motif chemokine 10 inhibitor,Inhibition,
Mechanism of Action,Interleukin-20 inhibitor,Inhibition,
Mechanism of Action,Dopamine receptors; D2 & D3 antagonist,Antagonist,
Mechanism of Action,Translocator protein antagonist,Antagonist,
Mechanism of Action,Stimulator of interferon genes protein agonist,Agonist,
Mechanism of Action,VEGF antagonist,Antagonist,
Mechanism of Action,Toll-like receptor 3 agonist,Agonist,
Mechanism of Action,Vitronectin receptor alpha binding agent,Binding agent,
Mechanism of Action,Ephrin type-A receptor 3 inhibitor,Inhibition,
Mechanism of Action,Beta-nerve growth factor inhibitor,Inhibition,
Mechanism of Action,Transthyretin ANTISENSE inhibitor,Inhibition,
Mechanism of Action,Programmed cell death 1 ligand 1 binding agent,Binding agent,
Mechanism of Action,Tyrosinase inhibitor,Inhibition,
Mechanism of Action,Vesicle-associated membrane protein 2 inhibitor,Inhibition,
Mechanism of Action,Serine/threonine-protein kinase Aurora-C inhibitor,Inhibition,
Mechanism of Action,CD22 other,Binding,
Mechanism of Action,Diacylglycerol O-acyltransferase 1 inhibitor,Inhibition,
Mechanism of Action,Bcl-2-related protein A1 inhibitor,Inhibition,
Mechanism of Action,Dopamine D1 receptor antagonist,Antagonist,
Mechanism of Action,Immunoglobulin epsilon Fc receptor antagonist,Antagonist,
Mechanism of Action,Transferrin receptor protein 1 antagonist,Antagonist,
Mechanism of Action,Sphingosine kinase 2 inhibitor,Inhibition,
Mechanism of Action,Envelope protein inhibitor,Inhibition,
Mechanism of Action,Monocyte differentiation antigen CD14 inhibitor,Inhibition,
Mechanism of Action,Toll-like receptor 8 agonist,Agonist,
Mechanism of Action,IL18 Receptor agonist,Agonist,
Mechanism of Action,Aurora A kinase inhibitor,Inhibition,
Mechanism of Action,Sodium channel protein type IV alpha subunit blocker,Blocker,
Mechanism of Action,Nuclear receptor ROR-gamma antagonist,Antagonist,
Mechanism of Action,Dihydropyrimidine dehydrogenase inhibitor,Inhibition,
Mechanism of Action,Integrin alpha-V/beta-5 antagonist,Antagonist,
Mechanism of Action,Choline transporter-like protein 4 binding agent,Binding agent,
Mechanism of Action,Proto-oncogene tyrosine-protein kinase ROS inhibitor,Inhibition,
Mechanism of Action,Serotonin 4 (5-HT4) receptor antagonist,Antagonist,
Mechanism of Action,Mineralocorticoid receptor modulator,Modulator,
Mechanism of Action,Toll-like receptor 8 antagonist,Antagonist,
Mechanism of Action,Cytochrome P450 11B2 inhibitor,Inhibition,
Mechanism of Action,Succinate semialdehyde dehydrogenase inhibitor,Inhibition,
Mechanism of Action,Potassium channel subfamily K member 9 blocker,Blocker,
Mechanism of Action,Bradykinin B2 receptor agonist,Agonist,
Mechanism of Action,Tyrosine-protein kinase receptor UFO binding agent,Binding agent,
Mechanism of Action,T-cell surface antigen CD4 binding agent,Binding agent,
Mechanism of Action,Oncostatin-M-specific receptor subunit beta inhibitor,Inhibition,
Mechanism of Action,Tryptophan 5-hydroxylase 1 inhibitor,Inhibition,
Mechanism of Action,Toll-like receptor 2 inhibitor,Inhibition,
Mechanism of Action,Proteosome and NF-kappaB inhibitor,Inhibition,
Mechanism of Action,Tissue-type plasminogen activator inhibitor,Inhibition,
Mechanism of Action,Lysosomal alpha-glucosidase inhibitor,Inhibition,
Mechanism of Action,Progesterone receptor modulator,Modulator,
Mechanism of Action,Insulin receptor inhibitor,Inhibition,
Mechanism of Action,Reticulon-4 inhibitor,Inhibition,
Mechanism of Action,DOPA decarboxylase inhibitor,Inhibition,
Mechanism of Action,"Isocitrate dehydrogenase [NADP], mitochondrial inhibitor",Inhibition,
Mechanism of Action,C-C chemokine receptor type 2 inhibitor,Inhibition,
Mechanism of Action,Squalene monooxygenase inhibitor,Inhibition,
Mechanism of Action,Macrophage colony stimulating factor receptor antagonist,Antagonist,
Mechanism of Action,Protein arginine N-methyltransferase 5 inhibitor,Inhibition,
Mechanism of Action,GP41 inhibitor,Inhibition,
Mechanism of Action,TNF-alpha binding agent,Binding agent,
Mechanism of Action,DNA-dependent protein kinase inhibitor,Inhibition,
Mechanism of Action,Serine/threonine-protein kinase PAK 4 inhibitor,Inhibition,
Mechanism of Action,Transient receptor potential cation channel subfamily M member 8 agonist,Agonist,
Mechanism of Action,Plasminogen activator inhibitor-1 inhibitor,Inhibition,
Mechanism of Action,Mucosal addressin cell adhesion molecule-1 inhibitor,Inhibition,
Mechanism of Action,CD70 antigen binding agent,Binding agent,
Mechanism of Action,Pyrimidinergic receptor P2Y6 agonist,Agonist,
Mechanism of Action,Zinc transporter ZIP6 binding agent,Binding agent,
Mechanism of Action,Beta amyloid A4 protein stabiliser,Stabiliser,
Mechanism of Action,Beta-1 adrenergic receptor inhibitor,Inhibition,
Mechanism of Action,Transferrin receptor binding agent,Binding agent,
Mechanism of Action,NADPH oxidase 1 inhibitor,Inhibition,
Mechanism of Action,IGF1R inhibitor,Inhibition,
Mechanism of Action,Frizzled-1 antagonist,Antagonist,
Mechanism of Action,T-cell surface antigen CD4 other,Binding,
Mechanism of Action,"Amine oxidase, copper containing inhibitor",Inhibition,
Mechanism of Action,Tyrosine-protein kinase TYK2 negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,Beta amyloid A4 protein vaccine antigen,Vaccine antigen,
Mechanism of Action,Purinergic receptor P2Y12 negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,Neuronal acetylcholine receptor protein alpha-7 subunit modulator,Modulator,
Mechanism of Action,Transient receptor potential cation channel subfamily A member 1 antagonist,Antagonist,
Mechanism of Action,Interleukin-22 inhibitor,Inhibition,
Mechanism of Action,Ribonucleotide reductase inhibitor,Inhibition,
Mechanism of Action,Aryl hydrocarbon receptor agonist,Agonist,
Mechanism of Action,Elongation factor 1-alpha 2 inhibitor,Inhibition,
Mechanism of Action,Granulocyte colony stimulating factor receptor antagonist,Antagonist,
Mechanism of Action,Mucin-1 inhibitor,Inhibition,
Mechanism of Action,Serine/threonine-protein kinase AKT3 inhibitor,Inhibition,
Mechanism of Action,Sodium channel protein type III alpha subunit blocker,Blocker,
Mechanism of Action,Protein kinase C delta inhibitor,Inhibition,
Mechanism of Action,Nicotinic acetylcholine receptor alpha4/beta2/alpha5 partial agonist,Partial agonist,
Mechanism of Action,Neuronal acetylcholine receptor; alpha6/beta2 partial agonist,Partial agonist,
Mechanism of Action,Hepatocyte growth factor receptor antagonist,Antagonist,
Mechanism of Action,IL6Ralpha/GP130 antagonist,Antagonist,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 8 other,Binding,
Mechanism of Action,Synaptosomal-associated protein 25 proteolytic enzyme,Binding,
Mechanism of Action,Cholesterol 24-hydroxylase inhibitor,Inhibition,
Mechanism of Action,Dopamine D5 receptor partial agonist,Partial agonist,
Mechanism of Action,Glucagon receptor inhibitor,Inhibition,
Mechanism of Action,Trace amine-associated receptor 1 agonist,Agonist,
Mechanism of Action,Apelin receptor agonist,Agonist,
Mechanism of Action,Leukocyte adhesion molecule-1 inhibitor,Inhibition,
Mechanism of Action,Envelope glycoprotein H inhibitor,Inhibition,
Mechanism of Action,Leukocyte antigen CD37 inhibitor,Inhibition,
Mechanism of Action,"Serine/threonine protein phosphatase 2A, catalytic subunit, beta isoform inhibitor",Inhibition,
Mechanism of Action,CD166 antigen binding agent,Binding agent,
Mechanism of Action,Ornithine decarboxylase inhibitor,Inhibition,
Mechanism of Action,Metabotropic glutamate receptor 2 modulator,Modulator,
Mechanism of Action,GPI-anchored wall transfer protein 1 inhibitor,Inhibition,
Mechanism of Action,Transient receptor potential cation channel subfamily M member 8 opener,Opener,
Mechanism of Action,Glycogen synthase kinase-3 alpha inhibitor,Inhibition,
Mechanism of Action,Voltage-gated calcium channel alpha2/delta subunit 2 modulator,Modulator,
Mechanism of Action,Growth/differentiation factor 2 inhibitor,Inhibition,
Mechanism of Action,T-cell surface glycoprotein CD5 binding agent,Binding agent,
Mechanism of Action,Eotaxin inhibitor,Inhibition,
Mechanism of Action,Tenascin binding agent,Binding agent,
Mechanism of Action,Sodium/glucose cotransporter 1 inhibitor,Inhibition,
Mechanism of Action,Interleukin-33 binding agent,Binding agent,
Mechanism of Action,Histamine H3 receptor agonist,Agonist,
Mechanism of Action,Urotensin II receptor antagonist,Antagonist,
Mechanism of Action,Cytochrome P450 3A4 inhibitor,Inhibition,
Mechanism of Action,Phospholipase A2 group IIA inhibitor,Inhibition,
Mechanism of Action,Heat shock cognate 71 kDa protein inhibitor,Inhibition,
Mechanism of Action,Integrin alpha-V/beta-1 inhibitor,Inhibition,
Mechanism of Action,Integrin alpha-V/beta-5 inhibitor,Inhibition,
Mechanism of Action,Integrin alpha-V/beta-8 inhibitor,Inhibition,
Mechanism of Action,Neuropilin-1 inhibitor,Inhibition,
Mechanism of Action,Macrophage colony-stimulating factor 1 inhibitor,Inhibition,
Mechanism of Action,Fibronectin receptor alpha inhibitor,Inhibition,
Mechanism of Action,Trophoblast glycoprotein cross-linking agent,Cross-linking agent,
Mechanism of Action,Semaphorin-4D inhibitor,Inhibition,
Mechanism of Action,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 activator,Activation,
Mechanism of Action,Inactive tyrosine-protein kinase transmembrane receptor ROR1 inhibitor,Inhibition,
Mechanism of Action,Leukocyte immunoglobulin-like receptor subfamily A member 4 inhibitor,Inhibition,
Mechanism of Action,Pancreatic alpha-amylase inhibitor,Inhibition,
Mechanism of Action,GABA receptor alpha-1 subunit positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,Interferon-alpha/beta receptor alpha chain antagonist,Antagonist,
Mechanism of Action,Coagulation factor VII inhibitor,Inhibition,
Mechanism of Action,GMP synthase [glutamine-hydrolyzing] inhibitor,Inhibition,
Mechanism of Action,Syncytin-1 inhibitor,Inhibition,
Mechanism of Action,"DNA topoisomerase I, mitochondrial inhibitor",Inhibition,
Mechanism of Action,Cyclooxygenase-1 inhibitor,Inhibition,
Mechanism of Action,Neuropeptide Y receptor type 5 antagonist,Antagonist,
Mechanism of Action,Carbonic anhydrase VII inhibitor,Inhibition,
Mechanism of Action,Solute carrier family 22 member 11 inhibitor,Inhibition,
Mechanism of Action,Peroxisome proliferator-activated receptor gamma antagonist,Antagonist,
Mechanism of Action,Interleukin-8 receptor B modulator,Modulator,
Mechanism of Action,Interleukin-17 receptor A antagonist,Antagonist,
Mechanism of Action,Glutathione S-transferase Pi inhibitor,Inhibition,
Mechanism of Action,Cytochrome P450 26A1 inhibitor,Inhibition,
Mechanism of Action,Caspase-9 inhibitor,Inhibition,
Mechanism of Action,Group X secretory phospholipase A2 inhibitor,Inhibition,
Mechanism of Action,Interleukin-10 inhibitor,Inhibition,
Mechanism of Action,Transforming growth factor beta inhibitor,Inhibition,
Mechanism of Action,Translocator protein agonist,Agonist,
Mechanism of Action,Lymphocyte activation gene 3 protein vaccine antigen,Vaccine antigen,
Mechanism of Action,Synaptosomal nerve-associated protein 25 (SNAP-25) hydrolytic enzyme,Binding,
Mechanism of Action,Gamma-amino-N-butyrate transaminase inhibitor,Inhibition,
Mechanism of Action,Neuropeptide Y receptor type 4 agonist,Agonist,
Mechanism of Action,Mitogen-activated protein kinase kinase kinase 13 inhibitor,Inhibition,
Mechanism of Action,T-cell-specific surface glycoprotein CD28 antagonist,Antagonist,
Mechanism of Action,Dopamine D4 receptor antagonist,Antagonist,
Mechanism of Action,Selectin E inhibitor,Inhibition,
Mechanism of Action,T-cell differentiation antigen CD6 inhibitor,Inhibition,
Mechanism of Action,Delta-like protein 4 inhibitor,Inhibition,
Mechanism of Action,Sialic acid-binding Ig-like lectin 10 modulator,Modulator,
Mechanism of Action,Granulocyte-macrophage colony-stimulating factor antagonist,Antagonist,
Mechanism of Action,PI3K inhibitor,Inhibition,
Mechanism of Action,Dopamine D3 receptor modulator,Modulator,
Mechanism of Action,"Indoleamine 2,3-dioxygenase inhibitor",Inhibition,
Mechanism of Action,Coagulation factor XII inhibitor,Inhibition,
Mechanism of Action,Cellular tumor antigen p53 stabiliser,Stabiliser,
Mechanism of Action,Interleukin-9 inhibitor,Inhibition,
Mechanism of Action,Killer cell immunoglobulin-like receptor 2DL1 inhibitor,Inhibition,
Mechanism of Action,Monoamine transporters; Norepinephrine & dopamine inhibitor,Inhibition,
Mechanism of Action,B-cell antigen receptor complex-associated protein beta chain binding agent,Binding agent,
Mechanism of Action,Carnitine palmitoyltransferase 2 inhibitor,Inhibition,
Mechanism of Action,Trophoblast glycoprotein binding agent,Binding agent,
Mechanism of Action,Killer cell immunoglobulin-like receptor 3DL2 antagonist,Antagonist,
Mechanism of Action,Delta opioid receptor partial agonist,Partial agonist,
Mechanism of Action,Interleukin-21 binding agent,Binding agent,
Mechanism of Action,Tie2R inhibitor,Inhibition,
Mechanism of Action,Phenylalanine-4-hydroxylase activator,Activation,
Mechanism of Action,Chloride channel protein 2 activator,Activation,
Mechanism of Action,"Voltage-gated potassium channel, KQT; KCNQ2(Kv7.2)/KCNQ3(Kv7.3) activator",Activation,
Mechanism of Action,Translocator protein partial agonist,Partial agonist,
Mechanism of Action,Carcinoembryonic antigen-related cell adhesion molecule 5 cross-linking agent,Cross-linking agent,
Mechanism of Action,Prostanoid EP1 receptor antagonist,Antagonist,
Mechanism of Action,Coagulation factor XI negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,Cytosolic phospholipase A2 inhibitor,Inhibition,
Mechanism of Action,ADAMTS5 inhibitor,Inhibition,
Mechanism of Action,Cytochrome b inhibitor,Inhibition,
Mechanism of Action,Cystic fibrosis transmembrane conductance regulator stabiliser,Stabiliser,
Mechanism of Action,Thymidine phosphorylase inhibitor,Inhibition,
Mechanism of Action,Tyrosine-protein kinase receptor Tie-1 inhibitor,Inhibition,
Mechanism of Action,Hepatocyte growth factor inhibitor,Inhibition,
Mechanism of Action,Histone deacetylase 3 inhibitor,Inhibition,
Mechanism of Action,Vascular endothelial growth factor B inhibitor,Inhibition,
Mechanism of Action,Blood group Rh(D) polypeptide other,Binding,
Mechanism of Action,C-C motif chemokine 2 inhibitor,Inhibition,
Mechanism of Action,Tumor susceptibility gene 101 protein inhibitor,Inhibition,
Mechanism of Action,Acetyl-CoA carboxylase negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,Aminopeptidase A inhibitor,Inhibition,
Mechanism of Action,Atrial natriuretic peptide receptor B binding agent,Binding agent,
Mechanism of Action,Serotonin 2a (5-HT2a) receptor agonist,Agonist,
Mechanism of Action,Glutamate receptor ionotropic kainate 1 antagonist,Antagonist,
Mechanism of Action,Interleukin-5 receptor subunit alpha inhibitor,Inhibition,
Mechanism of Action,Transferrin receptor inhibitor,Inhibition,
Mechanism of Action,Pyrimidinergic receptor P2Y4 agonist,Agonist,
Mechanism of Action,Alcohol dehydrogenase class III inhibitor,Inhibition,
Mechanism of Action,Serotonin transporter substrate,Substrate,
Mechanism of Action,SLAM family member 7 inhibitor,Inhibition,
Mechanism of Action,C5a anaphylatoxin chemotactic receptor antagonist,Antagonist,
Mechanism of Action,Calcitonin gene-related peptide type 1 receptor agonist,Agonist,
Mechanism of Action,GABA-B receptor 2 agonist,Agonist,
Mechanism of Action,Vanilloid receptor inhibitor,Inhibition,
Mechanism of Action,Epidermal growth factor-like protein 7 inhibitor,Inhibition,
Mechanism of Action,Metalloreductase STEAP1 binding agent,Binding agent,
Mechanism of Action,Teratocarcinoma-derived growth factor 1 binding agent,Binding agent,
Mechanism of Action,Proteinase-activated receptor 1 inhibitor,Inhibition,
Mechanism of Action,Protein kinase C epsilon inhibitor,Inhibition,
Mechanism of Action,"Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1 activator",Activation,
Mechanism of Action,Selectin E antagonist,Antagonist,
Mechanism of Action,Human immunodeficiency virus type 1 Tat protein antagonist,Antagonist,
Mechanism of Action,Mitogen-activated protein kinase kinase kinase 8 inhibitor,Inhibition,
Mechanism of Action,ADAM17 inhibitor,Inhibition,
Mechanism of Action,Alpha-2-macroglobulin binding agent,Binding agent,
Mechanism of Action,Vasopressin V1b receptor agonist,Agonist,
Mechanism of Action,Low affinity immunoglobulin gamma Fc region receptor III-A cross-linking agent,Cross-linking agent,
Mechanism of Action,Leukocyte antigen CD37 binding agent,Binding agent,
Mechanism of Action,Transmembrane glycoprotein NMB binding agent,Binding agent,
Mechanism of Action,Retinoid isomerohydrolase positive modulator,Positive modulator,
Mechanism of Action,DNA-directed RNA polymerase II subunit RPB1 inhibitor,Inhibition,
Mechanism of Action,Hypoxia-inducible factor prolyl hydroxylase 1 inhibitor,Inhibition,
Mechanism of Action,Tumor necrosis factor ligand superfamily member 11 inhibitor,Inhibition,
Mechanism of Action,Potassium channel subfamily K member 3 blocker,Blocker,
Mechanism of Action,Vascular endothelial growth factor A binding agent,Binding agent,
Mechanism of Action,Platelet-derived growth factor subunit B inhibitor,Inhibition,
Mechanism of Action,Elastin proteolytic enzyme,Binding,
Mechanism of Action,Thymidylate synthase antagonist,Antagonist,
Mechanism of Action,B-lymphocyte antigen CD19 cross-linking agent,Cross-linking agent,
Mechanism of Action,Mitogen-activated protein kinase kinase kinase 9 inhibitor,Inhibition,
Mechanism of Action,Myeloid cell surface antigen CD33 other,Binding,
Mechanism of Action,Killer cell immunoglobulin-like receptor 2DL2 inhibitor,Inhibition,
Mechanism of Action,Cell surface glycoprotein MUC18 inhibitor,Inhibition,
Mechanism of Action,Neurotrophic tyrosine kinase receptor agonist,Agonist,
Mechanism of Action,Coagulation factor X positive modulator,Positive modulator,
Mechanism of Action,Glutathione reductase,Binding,
Mechanism of Action,Platelet-derived growth factor receptor alpha antagonist,Antagonist,
Mechanism of Action,Reverse transcriptase negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,Voltage-gated potassium channel subunit Kv1.5 blocker,Blocker,
Mechanism of Action,Somatostatin receptor 4 agonist,Agonist,
Mechanism of Action,ATP-binding cassette sub-family A member 1 inhibitor,Inhibition,
Mechanism of Action,Activin receptor type-2B antagonist,Antagonist,
Mechanism of Action,Proheparin-binding EGF-like growth factor inhibitor,Inhibition,
Mechanism of Action,Interferon alpha-1/13 binding agent,Binding agent,
Mechanism of Action,P-selectin blocker,Blocker,
Mechanism of Action,Toll-like receptor 2 antagonist,Antagonist,
Mechanism of Action,G-protein coupled receptor 84 negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,Glutathione reductase inhibitor,Inhibition,
Mechanism of Action,MAP kinase-activated protein kinase 5 inhibitor,Inhibition,
Mechanism of Action,Voltage-gated potassium channel subunit Kv7.2 activator,Activation,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 12A agonist,Agonist,
Mechanism of Action,Integrin alpha-2 antagonist,Antagonist,
Mechanism of Action,Interleukin-15 inhibitor,Inhibition,
Mechanism of Action,Parathyroid hormone-related protein inhibitor,Inhibition,
Mechanism of Action,Intercellular adhesion molecule-1 inhibitor,Inhibition,
Mechanism of Action,Hepcidin inhibitor,Inhibition,
Mechanism of Action,Alpha-1d adrenergic receptor antagonist,Antagonist,
Mechanism of Action,Angiotensin II type 2 (AT-2) receptor antagonist,Antagonist,
Mechanism of Action,"NACHT, LRR and PYD domains-containing protein 3 inhibitor",Inhibition,
Mechanism of Action,Platelet glycoprotein VI (GPVI) inhibitor,Inhibition,
Mechanism of Action,Gonadotropin-releasing hormone receptor binding agent,Binding agent,
Mechanism of Action,NAD-dependent deacetylase sirtuin 1 inhibitor,Inhibition,
Mechanism of Action,Alpha-2c adrenergic receptor antagonist,Antagonist,
Mechanism of Action,Tyrosine-protein kinase YES inhibitor,Inhibition,
Mechanism of Action,Serotonin transporter antagonist,Antagonist,
Mechanism of Action,Transient receptor potential cation channel subfamily V member 3 antagonist,Antagonist,
Mechanism of Action,Alpha-fetoprotein binding agent,Binding agent,
Mechanism of Action,Monoamine oxidase A activator,Activation,
Mechanism of Action,Complement factor B inhibitor,Inhibition,
Mechanism of Action,Metabotropic glutamate receptor 4 positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,Epidermal growth factor receptor erbB1 negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,Tumor-associated calcium signal transducer 2 binding agent,Binding agent,
Mechanism of Action,Thromboxane A2 receptor inhibitor,Inhibition,
Mechanism of Action,G-protein coupled receptor family C group 5 member D binding agent,Binding agent,
Mechanism of Action,G-protein coupled receptor 84 antagonist,Antagonist,
Mechanism of Action,Transient receptor potential cation channel subfamily A member 1 opener,Opener,
Mechanism of Action,Calcium sensing receptor antagonist,Antagonist,
Mechanism of Action,Neurotensin receptor 1 antagonist,Antagonist,
Mechanism of Action,"HLA class II histocompatibility antigen, DRB1-15 beta chain modulator",Modulator,
Mechanism of Action,Phospholipase A2 group V inhibitor,Inhibition,
Mechanism of Action,Interleukin 17A binding agent,Binding agent,
Mechanism of Action,Beta-glucocerebrosidase stabiliser,Stabiliser,
Mechanism of Action,Claudin-18 binding agent,Binding agent,
Mechanism of Action,Retinoid X receptor alpha antagonist,Antagonist,
Mechanism of Action,Dopamine D1 receptor partial agonist,Partial agonist,
Mechanism of Action,Early growth response protein 1 inhibitor,Inhibition,
Mechanism of Action,"Glutaminase kidney isoform, mitochondrial inhibitor",Inhibition,
Mechanism of Action,Osteopontin inhibitor,Inhibition,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 13C binding agent,Binding agent,
Mechanism of Action,Granulocyte-macrophage colony-stimulating factor vaccine antigen,Vaccine antigen,
Mechanism of Action,Type I iodothyronine deiodinase (Type-I 5'-deiodinase) (DIOI) (Type 1 DI) (5DI) inhibitor,Inhibition,
Mechanism of Action,Voltage-gated P/Q-type calcium channel alpha-1A subunit blocker,Blocker,
Mechanism of Action,T-cell surface antigen CD4 agonist,Agonist,
Mechanism of Action,Arachidonate 12-lipoxygenase inhibitor,Inhibition,
Mechanism of Action,Type-1 angiotensin II receptor agonist,Agonist,
Mechanism of Action,C-X-C chemokine receptor type 4 inhibitor,Inhibition,
Mechanism of Action,CD44 antigen inhibitor,Inhibition,
Mechanism of Action,Basigin inhibitor,Inhibition,
Mechanism of Action,Lactadherin binding agent,Binding agent,
Mechanism of Action,Collagen alpha-4(IV) chain inhibitor,Inhibition,
Mechanism of Action,Serum amyloid P-component inhibitor,Inhibition,
Mechanism of Action,Dopamine D1 receptor agonist,Agonist,
Mechanism of Action,Ribosomal protein S6 kinase 1 inhibitor,Inhibition,
Mechanism of Action,Prostanoid EP4 receptor agonist,Agonist,
Mechanism of Action,Coagulation factor IX inhibitor,Inhibition,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 5 antagonist,Antagonist,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 8 binding agent,Binding agent,
Mechanism of Action,CD276 antigen binding agent,Binding agent,
Mechanism of Action,Reverse transcriptase inhibitor,Inhibition,
Mechanism of Action,SLAM family member 7 binding agent,Binding agent,
Mechanism of Action,CD70 antigen inhibitor,Inhibition,
Mechanism of Action,Dipeptidyl peptidase I inhibitor,Inhibition,
Mechanism of Action,Proepiregulin inhibitor,Inhibition,
Mechanism of Action,DNA topoisomerase IV inhibitor,Inhibition,
Mechanism of Action,Dopamine beta-hydroxylase inhibitor,Inhibition,
